source,row_index,row_text,period,id,name,order,level,off_balance,unit,value,item,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TCB_balance_sheet_doc,42,2025-Q3 | BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS | Placements and Loans to Credit Institutions | 4 | 1 | False | VNĐ | 92999089000000.0,2025-Q3,BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS,Placements and Loans to Credit Institutions,4,1,False,VNĐ,92999089000000.0,,,,,
TCB_balance_sheet_doc,44,2025-Q3 | BS_LOANS_TO_CUSTOMERS | Loans to Customers | 12 | 1 | False | VNĐ | 756078003000000.0,2025-Q3,BS_LOANS_TO_CUSTOMERS,Loans to Customers,12,1,False,VNĐ,756078003000000.0,,,,,
TCB_balance_sheet_doc,45,2025-Q3 | BS_PROVISION_LOANS_TO_CUSTOMERS |   ‣ Provision Loans to Customers | 14 | 2 | False | VNĐ | -10631926000000.0,2025-Q3,BS_PROVISION_LOANS_TO_CUSTOMERS,  ‣ Provision Loans to Customers,14,2,False,VNĐ,-10631926000000.0,,,,,
TCB_balance_sheet_doc,48,2025-Q3 | BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS |   ‣ Placements and Borrowings from Credit Institutions | 51 | 2 | False | VNĐ | 146643879000000.0,2025-Q3,BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS,  ‣ Placements and Borrowings from Credit Institutions,51,2,False,VNĐ,146643879000000.0,,,,,
TCB_balance_sheet_doc,49,2025-Q3 | BS_CUSTOMER_DEPOSITS |   ‣ Customer Deposits | 54 | 2 | False | VNĐ | 595086941000000.0,2025-Q3,BS_CUSTOMER_DEPOSITS,  ‣ Customer Deposits,54,2,False,VNĐ,595086941000000.0,,,,,
TCB_balance_sheet_doc,55,2025-Q2 | BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS | Placements and Loans to Credit Institutions | 4 | 1 | False | VNĐ | 80845693000000.0,2025-Q2,BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS,Placements and Loans to Credit Institutions,4,1,False,VNĐ,80845693000000.0,,,,,
TCB_balance_sheet_doc,57,2025-Q2 | BS_LOANS_TO_CUSTOMERS | Loans to Customers | 12 | 1 | False | VNĐ | 700801926000000.0,2025-Q2,BS_LOANS_TO_CUSTOMERS,Loans to Customers,12,1,False,VNĐ,700801926000000.0,,,,,
TCB_balance_sheet_doc,58,2025-Q2 | BS_PROVISION_LOANS_TO_CUSTOMERS |   ‣ Provision Loans to Customers | 14 | 2 | False | VNĐ | -9511084000000.0,2025-Q2,BS_PROVISION_LOANS_TO_CUSTOMERS,  ‣ Provision Loans to Customers,14,2,False,VNĐ,-9511084000000.0,,,,,
TCB_balance_sheet_doc,61,2025-Q2 | BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS |   ‣ Placements and Borrowings from Credit Institutions | 51 | 2 | False | VNĐ | 137064303000000.0,2025-Q2,BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS,  ‣ Placements and Borrowings from Credit Institutions,51,2,False,VNĐ,137064303000000.0,,,,,
TCB_balance_sheet_doc,62,2025-Q2 | BS_CUSTOMER_DEPOSITS |   ‣ Customer Deposits | 54 | 2 | False | VNĐ | 545078843000000.0,2025-Q2,BS_CUSTOMER_DEPOSITS,  ‣ Customer Deposits,54,2,False,VNĐ,545078843000000.0,,,,,
TCB_balance_sheet_doc,68,2025-Q1 | BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS | Placements and Loans to Credit Institutions | 4 | 1 | False | VNĐ | 81883430000000.0,2025-Q1,BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS,Placements and Loans to Credit Institutions,4,1,False,VNĐ,81883430000000.0,,,,,
TCB_balance_sheet_doc,70,2025-Q1 | BS_LOANS_TO_CUSTOMERS | Loans to Customers | 12 | 1 | False | VNĐ | 655007208000000.0,2025-Q1,BS_LOANS_TO_CUSTOMERS,Loans to Customers,12,1,False,VNĐ,655007208000000.0,,,,,
TCB_balance_sheet_doc,71,2025-Q1 | BS_PROVISION_LOANS_TO_CUSTOMERS |   ‣ Provision Loans to Customers | 14 | 2 | False | VNĐ | -8685658000000.0,2025-Q1,BS_PROVISION_LOANS_TO_CUSTOMERS,  ‣ Provision Loans to Customers,14,2,False,VNĐ,-8685658000000.0,,,,,
TCB_balance_sheet_doc,74,2025-Q1 | BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS |   ‣ Placements and Borrowings from Credit Institutions | 51 | 2 | False | VNĐ | 135313705000000.0,2025-Q1,BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS,  ‣ Placements and Borrowings from Credit Institutions,51,2,False,VNĐ,135313705000000.0,,,,,
