Ticker,Period,LDR,CASA,InterbankDep,CreditDepositGap,NIM,Data Type,Source Mode,Retrieved At
VCB,2026-Q2,1.0169754447,,,-0.0003685732412969379,0.0274697447,ACTUAL,BRONZE,2026-08-18T11:26:17+07:00
BID,2026-Q2,1.1061522236,,,0.0908122531612986,0.0210641822,ACTUAL,BRONZE,2026-08-18T11:26:23+07:00
CTG,2026-Q2,1.10677871,,,0.08901147803752396,0.0268977165,ACTUAL,BRONZE,2026-08-18T11:26:29+07:00
TCB,2026-Q2,1.2790980022,,,0.26170450157629793,0.0363342376,ACTUAL,BRONZE,2026-08-18T11:26:35+07:00
MBB,2026-Q2,1.2736407115,,,0.2563522537854727,0.0389543319,ACTUAL,BRONZE,2026-08-18T11:26:41+07:00
ACB,2026-Q2,1.2933656682,,,0.27937799285547993,0.0288777064,ACTUAL,BRONZE,2026-08-18T11:26:47+07:00
HDB,2026-Q2,0.9776600377,,,-0.03598430072042049,0.0410515519,ACTUAL,BRONZE,2026-08-18T11:26:53+07:00
VPB,2026-Q2,1.584692925,,,0.5555003357677953,0.0524073241,ACTUAL,BRONZE,2026-08-18T11:27:00+07:00
STB,2026-Q2,0.9816181355,,,-0.06032545422809594,0.0293063327,ACTUAL,BRONZE,2026-08-18T11:27:06+07:00
VIB,2026-Q2,1.2508474112,,,0.2348984765385362,0.0304094941,ACTUAL,BRONZE,2026-08-18T11:27:13+07:00
SHB,2026-Q2,1.0566131403,,,0.03854318871152644,0.0213857423,ACTUAL,BRONZE,2026-08-18T11:27:21+07:00
TPB,2026-Q2,1.1721814197,,,0.15769967550661448,0.0289891823,ACTUAL,BRONZE,2026-08-18T11:27:27+07:00
LPB,2026-Q2,1.2148474216,,,0.19980959472434467,0.0291952818,ACTUAL,BRONZE,2026-08-18T11:27:35+07:00
OCB,2026-Q2,1.3797867928,,,0.3512185490254231,0.0303957638,ACTUAL,BRONZE,2026-08-18T11:27:43+07:00
MSB,2026-Q2,1.1257897306,,,0.11111671187725944,0.0316796336,ACTUAL,BRONZE,2026-08-18T11:27:50+07:00
SSB,2026-Q2,1.2707149215,,,0.25170859714703187,0.0245832806,ACTUAL,BRONZE,2026-08-18T11:27:55+07:00
EIB,2026-Q2,1.1021110724,,,0.09134234514491787,0.0236730221,ACTUAL,BRONZE,2026-08-18T11:28:03+07:00
NAB,2026-Q2,1.0934269314,,,0.082425872299349,0.02188875,ACTUAL,BRONZE,2026-08-18T11:28:09+07:00
KLB,2026-Q2,1.049954025,,,0.03244268577345146,0.0401056713,ACTUAL,BRONZE,2026-08-18T11:28:16+07:00
BAB,2026-Q2,1.1338242212,,,0.11654092243892807,0.0232718615,ACTUAL,BRONZE,2026-08-18T11:28:22+07:00
