Ticker,Period,AsOfDate,CASA,SourceURL,SourceName,DataType
VCB,2026Q2,2026-06-30,0.3235,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
BID,2026Q2,2026-06-30,0.2005,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
CTG,2026Q2,2026-06-30,0.2267,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
TCB,2026Q2,2026-06-30,0.34259999999999996,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
MBB,2026Q2,2026-06-30,0.3392,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
ACB,2026Q2,2026-06-30,0.2004,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
HDB,2026Q2,2026-06-30,0.10869999999999999,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
VPB,2026Q2,2026-06-30,0.1255,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
STB,2026Q2,2026-06-30,0.16449999999999998,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
VIB,2026Q2,2026-06-30,0.1177,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
SHB,2026Q2,2026-06-30,0.0765,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
TPB,2026Q2,2026-06-30,0.1857,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
LPB,2026Q2,2026-06-30,0.06309999999999999,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
OCB,2026Q2,2026-06-30,0.1105,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
MSB,2026Q2,2026-06-30,0.2191,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
SSB,2026Q2,2026-06-30,0.107,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
EIB,2026Q2,2026-06-30,0.1378,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
NAB,2026Q2,2026-06-30,0.0526,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
KLB,2026Q2,2026-06-30,0.057800000000000004,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
BAB,2026Q2,2026-06-30,0.0334,https://vietnamnet.vn/tien-gui-khong-ky-han-giam-manh-ong-vua-casa-cung-hut-hoi-2543068.html,VietNamNet - tổng hợp từ BCTC bán niên 2026 của các ngân hàng,ACTUAL_PUBLIC_SOURCE
