horizon,forecast,p10,p90,p025,p975,date,ForecastTier,SelectedModel
1,4.9061710646754095,1.1201491093703466,8.692193019980472,-0.8840498492387967,10.696391978589617,2026-08-03,EXPLORATORY,"ARIMA(1,0,0)"
2,4.799545910440917,0.981167986862375,8.617923834019457,-1.0401591867133053,10.639251007595139,2026-08-04,EXPLORATORY,"ARIMA(1,0,0)"
3,4.785576238164525,0.9666453057327855,8.604507170596264,-1.0549746130463742,10.626127089375425,2026-08-05,EXPLORATORY,"ARIMA(1,0,0)"
4,4.783745978270311,0.9648055539377967,8.602686402602824,-1.056819389550113,10.624311346090735,2026-08-06,EXPLORATORY,"ARIMA(1,0,0)"
5,4.783506183720082,0.9645655964558144,8.602446770984349,-1.057059433282956,10.624071800723119,2026-08-07,EXPLORATORY,"ARIMA(1,0,0)"
6,4.7834747666374575,0.9645341765764064,8.602415356698508,-1.057090854642892,10.624040387917807,2026-08-10,EXPLORATORY,"ARIMA(1,0,0)"
7,4.78347065047602,0.9645300603669611,8.602411240585079,-1.0570949708777508,10.624036271829791,2026-08-11,EXPLORATORY,"ARIMA(1,0,0)"
8,4.78347011119027,0.9645295210803866,8.602410701300153,-1.0570955101647614,10.624035732545302,2026-08-12,EXPLORATORY,"ARIMA(1,0,0)"
9,4.783470040534849,0.9645294504249513,8.602410630644746,-1.0570955808202047,10.624035661889902,2026-08-13,EXPLORATORY,"ARIMA(1,0,0)"
10,4.783470031277811,0.9645294411679135,8.602410621387708,-1.0570955900772425,10.624035652632864,2026-08-14,EXPLORATORY,"ARIMA(1,0,0)"
11,4.783470030064985,0.9645294399550872,8.602410620174883,-1.0570955912900688,10.624035651420037,2026-08-17,EXPLORATORY,"ARIMA(1,0,0)"
12,4.783470029906084,0.9645294397961868,8.60241062001598,-1.0570955914489693,10.624035651261138,2026-08-18,EXPLORATORY,"ARIMA(1,0,0)"
13,4.783470029885265,0.9645294397753679,8.602410619995162,-1.0570955914697882,10.62403565124032,2026-08-19,EXPLORATORY,"ARIMA(1,0,0)"
14,4.783470029882538,0.9645294397726403,8.602410619992435,-1.0570955914725157,10.624035651237591,2026-08-20,EXPLORATORY,"ARIMA(1,0,0)"
15,4.783470029882181,0.9645294397722832,8.602410619992078,-1.0570955914728728,10.624035651237234,2026-08-21,EXPLORATORY,"ARIMA(1,0,0)"
16,4.7834700298821335,0.9645294397722362,8.602410619992032,-1.0570955914729199,10.624035651237186,2026-08-24,EXPLORATORY,"ARIMA(1,0,0)"
17,4.783470029882127,0.9645294397722299,8.602410619992025,-1.057095591472926,10.62403565123718,2026-08-25,EXPLORATORY,"ARIMA(1,0,0)"
18,4.783470029882126,0.964529439772229,8.602410619992025,-1.057095591472927,10.624035651237179,2026-08-26,EXPLORATORY,"ARIMA(1,0,0)"
19,4.783470029882126,0.964529439772229,8.602410619992025,-1.057095591472927,10.624035651237179,2026-08-27,EXPLORATORY,"ARIMA(1,0,0)"
20,4.783470029882126,0.964529439772229,8.602410619992025,-1.057095591472927,10.624035651237179,2026-08-28,EXPLORATORY,"ARIMA(1,0,0)"
