Model,RollingPoints,RMSE,MAE,SkillVsNaive,Selected
NAIVE_RANDOM_WALK,5,6.8821232188911,5.742,0.0,False
HISTORICAL_MEAN,5,4.343959126986036,3.514769324827219,0.368805383335469,True
MEAN_REVERSION_AR1,5,5.23171326704341,4.5637585878936155,0.2398111599218964,False
ETS_SIMPLE,5,5.030612614074701,4.419397546793322,0.2690318882600199,False
"ARIMA(1,0,0)",5,5.231713232159567,4.563758552865062,0.23981116499065813,False
"ARIMA(2,0,0)",5,5.713714576756919,5.056045427346399,0.1697744438703095,False
"ARIMA(1,1,0)",5,6.882080706127281,6.504753435475332,6.1772744349708475e-06,False
"ARIMA(0,1,1)",5,5.2184583736460795,4.58268414585771,0.24173714889008957,False
