date,P_Excess_raw,P_Neutral_raw,P_Stress_raw,P_Excess,P_Neutral,P_Stress,Regime
2018-02-02,0.9969187009827277,0.0025900987718442446,0.0004912002454203188,0.9969187009827355,0.0025900987718442646,0.0004912002454203226,Excess
2018-02-05,0.9999921417585551,2.98138689864285e-09,7.85526005055565e-06,0.998455421370649,0.0012950508766155816,0.0002495277527354391,Excess
2018-02-06,0.9999927444005003,2.193329187173017e-08,7.23366620010253e-06,0.998967862380602,0.0008633745621743448,0.0001687630572236603,Excess
2018-02-07,0.9999948597204025,5.710192309394293e-10,5.139708570329444e-06,0.9992246117155541,0.0006475310643855664,0.0001278572200603276,Excess
2018-02-08,0.9999639128583334,2.5011009442009854e-08,3.6062130649262115e-05,0.9993724719441116,0.0005180298537103416,0.00010949820217811457,Excess
2018-02-09,0.9942869084326024,7.055759809807822e-07,0.005712385991408856,0.9985248780255279,0.00043180914075544816,0.0010433128337165789,Excess
2018-02-22,8.130099034238262e-07,2.456675046520908e-13,0.9999991869898427,0.8558785830232959,0.00037012212068262233,0.1437512948560214,Excess
2018-02-23,9.812480941811904e-11,8.459441988964156e-18,0.9999999999018669,0.7488937601576495,0.00032385685559729557,0.2507823829867531,Excess
2018-02-26,2.253533184525266e-07,3.3131605326855295e-08,0.999999741515068,0.6656833674016128,0.00028787644182041023,0.33402875615656674,Excess
2018-02-27,3.045746249030056e-09,2.4045311203169393e-13,0.999999996954005,0.5991150309660261,0.0002590887976624145,0.4006258802363114,Excess
2018-02-28,0.00025905609721406267,0.023900378968490652,0.975840564934287,0.5446735787052251,0.0024082969950104532,0.4529181242997644,Excess
2018-03-01,0.004421158851473435,0.7694205084488476,0.22615833269967062,0.49965254371741247,0.06632598128283072,0.43402147499975674,Excess
2018-03-02,0.020712416720640597,0.9235120693732273,0.05577551390612387,0.4628109954868916,0.13226337267440025,0.40492563183870806,Excess
2018-03-05,0.00799925224045458,0.9514441336221265,0.04055661413741051,0.4303244423978604,0.190776284170667,0.3788992734314726,Excess
2018-03-06,0.021212486786441703,0.9596917065394766,0.01909580667407327,0.4030503120237658,0.24203731232858813,0.354912375647646,Excess
2018-03-07,0.1477004746440525,0.8466638795706084,0.005635645785330911,0.3870909471875338,0.2798264727812148,0.3330825800312513,Excess
2018-03-08,0.991212057259527,0.008185477535459982,0.0006024652050048952,0.4226274830741221,0.26384759070793506,0.3135249262179427,Excess
