Ticker,LDR,CASA,InterbankDep,CreditDepositGap,NIM,ActualMetricCount,MetricCoverage,SourceMode,DataType,CASASource,LiquidityBuffer,BaseVulnerability,Horizon,LPI,StressVulnerability,FundingCostShock_ppt,StressedNIM,Watch
VCB,1.0169754447,0.3235,0.1524714528395213,-0.0003685732412969,0.0274697447,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.016975444699999898,62.97161019203955,Current,0.0,62.97161019203955,1.259432203840791,0.01487542266159209,RED
BID,1.1062653407,0.2005,0.1082076395852977,0.0909238016103132,0.0210641779,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.10626534070000004,71.76850978914779,Current,0.0,71.76850978914779,1.4353701957829557,0.0067104759421704446,RED
CTG,1.10677871,0.2267,0.1595264836386918,0.0890114780375239,0.0268977165,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.10677870999999994,73.33538798986685,Current,0.0,73.33538798986685,1.4667077597973368,0.01223063890202663,RED
TCB,1.2790980022,0.3426,0.1294025962011723,0.2617045015762979,0.0363342376,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.27909800220000003,83.6462996213417,Current,0.0,83.6462996213417,1.672925992426834,0.01960497767573166,RED
MBB,1.2736407115,0.3392,0.1648047502840461,0.2563522537854727,0.0389543319,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.2736407114999999,84.83747718984625,Current,0.0,84.83747718984625,1.696749543796925,0.02198683646203075,RED
ACB,1.2933656682,0.2004,0.1389342157147655,0.2793779928554799,0.0288777064,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.2933656682000001,89.01971417982882,Current,0.0,89.01971417982882,1.7803942835965765,0.011073763564034236,RED
HDB,0.9776600377,0.1087,0.1419292897118332,-0.0359843007204204,0.0410515519,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,0.022339962300000016,64.50057556991987,Current,0.0,64.50057556991987,1.2900115113983974,0.028151436786016025,AMBER
VPB,1.584692925,0.1255,0.2317035391597012,0.5555003357677953,0.0524073241,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.5846929249999999,100.0,Current,0.0,100.0,2.0,0.032407324099999996,RED
STB,0.9816181355,0.1645,0.100960096156917,-0.0603254542280959,0.0293063327,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,0.01838186450000001,60.86687482571839,Current,0.0,60.86687482571839,1.2173374965143677,0.017132957734856322,RED
VIB,1.2508474112,0.1177,0.2460061363235423,0.2348984765385362,0.0304094941,5,1.0,ACTUAL_MIXED_SOURCE,ACTUAL,ACTUAL_PUBLIC_SOURCE,-0.2508474112000001,92.2172431057155,Current,0.0,92.2172431057155,1.84434486211431,0.0119660454788569,RED
