date,P_Excess_raw,P_Neutral_raw,P_Stress_raw,P_Excess,P_Neutral,P_Stress
2020-02-11,0.0908738125524165,0.8973663180682382,0.011759869379349381,0.09087381255241611,0.8973663180682344,0.01175986937934933
2020-02-12,0.0485798096460361,0.9477992756713495,0.0036209146826187907,0.069726811099226,0.92258279686979,0.007690392030984054
2020-02-13,0.012972295866684169,0.9828061402852322,0.00422156384808787,0.05080863935504538,0.942657244674936,0.006534115970018653
2020-02-14,0.007511092331770476,0.9887143074458191,0.0037746002224143503,0.039984252599226645,0.9541715103676558,0.005844237033117573
2020-02-17,0.012229637743231814,0.9852673868863885,0.0025029753703835096,0.03443332962802768,0.9603906856714016,0.00517598470057076
2020-02-18,0.009690258988228864,0.9861262921521299,0.004183448859645202,0.03030948452139453,0.9646799534181889,0.005010562060416498
2020-02-19,0.00586260840965874,0.9774262248684242,0.01671116672192125,0.02681707364828941,0.9665008493396504,0.006682077012060022
2020-02-20,0.00448973224437015,0.9186659155814936,0.07684435217414033,0.024026155972799505,0.9605214826198805,0.015452361407320023
2020-02-21,0.005285561799413569,0.7630320577104277,0.231682380490163,0.02194386773131217,0.9385782131854964,0.03947791908319135
2020-02-24,0.002554190430594907,0.31052336423491844,0.686922445334491,0.020004900001240448,0.8757727282904385,0.10422237170832105
2020-02-25,0.0012458539815713803,0.15025837489443902,0.8484957711239939,0.01829953218127053,0.8098168779817112,0.17188358983701824
2020-02-26,0.001522968328508231,0.1976445808037559,0.80083245086774,0.016901485193540337,0.7588025198835482,0.22429599492291144
2020-02-27,0.0037535110347476286,0.2604045204217102,0.7358419685435464,0.015890102565940898,0.7204642122326376,0.26364568520142156
2020-02-28,0.02854512761088987,0.5799686937903977,0.3914861785987167,0.016794032926294385,0.7104288180581916,0.272777149015514
2020-03-02,0.19262276169317072,0.7367637762215344,0.07061346208529927,0.02851594817741942,0.7121844819357476,0.25929956988683295
2020-03-03,0.5508305577966923,0.4413453707035738,0.007824071499738282,0.06116061127862383,0.6952570374837367,0.24358235123763955
2020-03-04,0.8015058620905112,0.19712334907149312,0.001370788838000016,0.10471033191461701,0.6659550558124282,0.22933461227295485
2020-03-05,0.8691856237307279,0.1301390883153551,0.0006752879539214605,0.14718118145995632,0.6361875020625907,0.216631316477453
2020-03-06,0.8706067474990836,0.12861840837076016,0.0007748441301608552,0.1852562112514891,0.6094733392367049,0.20527044951180606
2020-03-09,0.9196787584737159,0.0797939458402125,0.0005272956860761367,0.22197733861260027,0.5829893695668802,0.19503329182051954
2020-03-10,0.9657470886570679,0.03397962313139708,0.0002732882115396904,0.26572100241783264,0.5398200348200383,0.19445896276212904
