date,omo,fx,OMO_z,FX_z,LPI_components,LPI
2018-06-14,-11800.0,,2.8133562585520653,,1,
2018-06-15,-16900.0,,3.487257845206725,,1,
2018-06-18,-11200.0,,2.224413864287228,,1,
2018-06-19,-14581.0,,2.6303977632503557,,1,
2018-06-20,-17300.0,,2.840186280913249,,1,
2018-06-21,-19999.6,,2.961511290645148,,1,
2018-06-22,-2000.0,,0.24602521349770673,,1,
2018-06-25,-1699.8,,0.17984885591461153,,1,
2018-06-26,-3619.0,,0.44805468126716524,,1,
2018-06-27,-2000.0,,0.18383619396473272,,1,
2018-06-28,0.0,,-0.14912608353312365,,1,
2018-06-29,0.0,,-0.14997438703693586,,1,
2018-07-02,0.0,,-0.16929842080575758,,1,
2018-07-03,1000.0,,-0.3260666430968661,,1,
2018-07-04,2300.0,,-0.525836526048302,,1,
2018-07-05,3500.0,,-0.6975699142432729,,1,
2018-07-06,5990.0,,-1.079400926392388,,1,
2018-07-09,6200.0,,-1.0867383046624854,,1,
2018-07-10,6400.0,,-1.0887874473861006,,1,
2018-07-11,6500.0,,-1.090638478939251,,1,
2018-07-12,12234.0,,-1.9397563839360985,,1,
2018-07-13,13900.0,,-2.093516425623028,,1,
2018-07-16,5100.0,,-0.7973148090744528,,1,
2018-07-17,7000.0,,-1.0452944541761042,,1,
2018-07-18,8100.0,,-1.1784086957628725,,1,
2018-07-19,8994.8,,-1.2624552700986926,,1,
2018-07-20,2993.0,,-0.40658739892259843,,1,
2018-07-23,3700.0,,-0.5010180643166541,,1,
2018-07-24,13499.9,,-1.8228602453836522,,1,
2018-07-25,2999.9,,-0.3534702028715263,,1,
2018-07-26,0.0,,0.06343601722330272,,1,
2018-07-27,-993.0,,0.17107911466389125,,1,
2018-07-30,-12500.0,,1.7459447489210274,,1,
2018-07-31,-26879.9,,3.3423272652512126,,1,
2018-08-01,-10299.6,,1.194159419484185,,1,
2018-08-02,-7910.0,,0.8732936026169074,,1,
2018-08-03,-2360.0,,0.18765939260611628,,1,
2018-08-06,400.0,,-0.15134866420529722,,1,
2018-08-07,4600.0,,-0.6584309670527421,,1,
2018-08-08,4327.0,,-0.6098936583211645,,1,
2018-08-09,3869.0,,-0.5400142257746979,,1,
2018-08-10,1200.0,,-0.20578943567993752,,1,
2018-08-13,3036.0,,-0.42692238266712323,,1,
2018-08-14,5100.0,,-0.6697960718728159,,1,
2018-08-15,2535.0,,-0.34729662882264023,,1,
2018-08-16,6919.0,,-0.8723492296584316,,1,
2018-08-17,-197.0,,0.00024270416195580272,,1,
2018-08-20,-254.0,,0.0067162087934119815,,1,
2018-08-21,2418.0,,-0.31587483602899297,,1,
2018-08-22,2567.0,,-0.33219996847891076,,1,
2018-08-23,-3875.0,,0.4483515311229357,,1,
2018-08-24,3617.0,,-0.45973167827275446,,1,
2018-08-27,821.0,,-0.12887066766335034,,1,
2018-08-28,-1918.0,,0.19245252024148718,,1,
2018-08-29,-2929.0,,0.2978350998355894,,1,
2018-08-30,199.0,,-0.10206263317946328,,1,
2018-08-31,667.0,,-0.1611019838262395,,1,
2018-09-03,,,,,0,
2018-09-04,3813.0,,-0.5213985733604444,,1,
2018-09-05,3836.0,,-0.5018877801298813,,1,
2018-09-06,-2312.0,,0.2908774357198569,,1,
2018-09-07,-4087.0,,0.5658844710999639,,1,
2018-09-10,,,,,0,
2018-09-11,-4011.0,,0.6338718692763484,,1,
2018-09-12,-3208.0,,0.5876731455063917,,1,
2018-09-13,-2000.0,,0.4985254798993928,,1,
2018-09-14,-300.0,,0.23245668691934954,,1,
2018-09-17,5900.0,,-0.735025765753421,,1,
2018-09-18,7298.0,,-0.9256787175794523,,1,
2018-09-19,5172.0,,-0.568014921544218,,1,
2018-09-20,7319.8,,-0.8835782272878666,,1,
2018-09-21,-12430.0,,2.112944389992365,,1,
2018-09-24,-9320.2,,1.5814370922131358,,1,
2018-09-25,-8000.0,,1.3407391614995958,,1,
2018-09-26,-3800.0,,0.7098650903959011,,1,
2018-09-27,-20.0,,0.15230619127976913,,1,
2018-09-28,6456.0,,-0.787015797664525,,1,
2018-10-01,7150.0,,-0.8836633945205079,,1,
2018-10-02,4417.0,,-0.4941352148223476,,1,
